orthographe	phonetique
nuisit	nHizi
nuisons	nHizN
nuisîmes	nHizim
nuisît	nHizi
nuisîtes	nHizit
nuit	nHi
nuitamment	nHitamA
nuits	nHi
nuitée	nHite
nuitées	nHite
nul	nyl
nulle	nyl
nullement	nyl@mA
nulles	nyl
nullité	nylite
nullités	nylite
nuls	nyl
numismate	nymismat
numismates	nymismat
numéraire	nymeRER
numéraires	nymeRER
numérique	nymeRik
numériquement	nymeRik@mA
numériques	nymeRik
numérisa	nymeRiza
numérisai	nymeRize
numérisaient	nymeRizE
numérisais	nymeRizE
numérisait	nymeRizE
numérisant	nymeRizA
numérisas	nymeRiza
numérisasse	nymeRizas
numérisassent	nymeRizas
numérisasses	nymeRizas
numérisassiez	nymeRizasje
numérisassions	nymeRizasjN
numérisation	nymeRizasjN
numérisations	nymeRizasjN
numérise	nymeRiz
numérisent	nymeRiz
numériser	nymeRize
numérisera	nymeRiz@Ra
numériserai	nymeRiz@Re
numériseraient	nymeRiz@RE
numériserais	nymeRiz@RE
numériserait	nymeRiz@RE
numériseras	nymeRiz@Ra
numériserez	nymeRiz@Re
numériseriez	nymeRiz@Rje
numériserions	nymeRiz@RjN
numériserons	nymeRiz@RN
numériseront	nymeRiz@RN
numérises	nymeRiz
numérisez	nymeRize
numérisiez	nymeRizje
numérisions	nymeRizjN
numérisons	nymeRizN
numérisâmes	nymeRizam
numérisât	nymeRiza
numérisâtes	nymeRizat
numérisèrent	nymeRizER
numérisé	nymeRize
numérisée	nymeRize
numérisées	nymeRize
numérisés	nymeRize
numéro	nymeRo
numéros	nymeRo
numérota	nymeROta
numérotai	nymeROte
numérotaient	nymeROtE
numérotais	nymeROtE
numérotait	nymeROtE
numérotant	nymeROtA
numérotas	nymeROta
numérotasse	nymeROtas
numérotassent	nymeROtas
numérotasses	nymeROtas
numérotassiez	nymeROtasje
numérotassions	nymeROtasjN
numérotation	nymeROtasjN
numérotations	nymeROtasjN
numérote	nymeROt
numérotent	nymeROt
numéroter	nymeROte
numérotera	nymeROt@Ra
numéroterai	nymeROt@Re
numéroteraient	nymeROt@RE
numéroterais	nymeROt@RE
numéroterait	nymeROt@RE
numéroteras	nymeROt@Ra
numéroterez	nymeROt@Re
numéroteriez	nymeROt@Rje
numéroterions	nymeROt@RjN
numéroterons	nymeROt@RN
numéroteront	nymeROt@RN
numérotes	nymeROt
numérotez	nymeROte
numérotiez	nymeROtje
numérotions	nymeROtjN
numérotons	nymeROtN
numérotâmes	nymeROtam
numérotât	nymeROta
numérotâtes	nymeROtat
numérotèrent	nymeROtER
numéroté	nymeROte
numérotée	nymeROte
numérotées	nymeROte
numérotés	nymeROte
nuptial	nypsjal
nuptiale	nypsjal
nuptialement	nypsjal@mA
nuptiales	nypsjal
nuptiaux	nypsjo
nuque	nyk
nuques	nyk
nurse	n9Rs
nurses	n9Rs
nus	ny
nutritif	nytRitif
nutritifs	nytRitif
nutrition	nytRisjN
nutritions	nytRisjN
nutritive	nytRitiv
nutritives	nytRitiv
nuée	nHe
nuées	nHe
nylon	nilN
nylons	nilN
nymphe	ne~f
nymphes	ne~f
nymphomane	ne~fOman
nymphomanes	ne~fOman
nègre	nEgR
nègres	nEgR
né	ne
néanmoins	neAmwe~
néant	neA
néants	neA
nébuleuse	nebyl2z
nébuleusement	nebyl2z@mA
nébuleuses	nebyl2z
nébuleux	nebyl2
nébulosité	nebylozite
nébulosités	nebylozite
nécessaire	nesesER
nécessairement	nesesER@mA
nécessaires	nesesER
nécessita	nesesita
nécessitai	nesesite
nécessitaient	nesesitE
nécessitais	nesesitE
nécessitait	nesesitE
nécessitant	nesesitA
nécessitas	nesesita
nécessitasse	nesesitas
nécessitassent	nesesitas
nécessitasses	nesesitas
nécessitassiez	nesesitasje
nécessitassions	nesesitasjN
nécessite	nesesit
nécessitent	nesesit
nécessiter	nesesite
nécessitera	nesesit@Ra
nécessiterai	nesesit@Re
nécessiteraient	nesesit@RE
nécessiterais	nesesit@RE
nécessiterait	nesesit@RE
nécessiteras	nesesit@Ra
nécessiterez	nesesit@Re
nécessiteriez	nesesit@Rje
nécessiterions	nesesit@RjN
nécessiterons	nesesit@RN
nécessiteront	nesesit@RN
nécessites	nesesit
nécessiteuse	nesesit2z
nécessiteuses	nesesit2z
nécessiteux	nesesit2
nécessitez	nesesite
nécessitiez	nesesitje
nécessitions	nesesitjN
nécessitons	nesesitN
nécessitâmes	nesesitam
nécessitât	nesesita
nécessitâtes	nesesitat
nécessitèrent	nesesitER
nécessité	nesesite
nécessitée	nesesite
nécessitées	nesesite
nécessités	nesesite
nécrologie	nekROlOZi
nécrologies	nekROlOZi
nécromancien	nekROmAsje~
nécromancienne	nekROmAsjEn
nécromanciennes	nekROmAsjEn
nécromanciens	nekROmAsje~
nécrose	nekRoz
nécroses	nekRoz
née	ne
néerlandais	neERlAdE
néerlandaise	neERlAdEz
néerlandaises	neERlAdEz
nées	ne
néfaste	nefast
néfastes	nefast
négatif	negatif
négatifs	negatif
négation	negasjN
négations	negasjN
négative	negativ
négativement	negativ@mA
négatives	negativ
néglige	negliZ
négligea	negliZa
négligeable	negliZabl
négligeables	negliZabl
négligeai	negliZe
négligeaient	negliZE
négligeais	negliZE
négligeait	negliZE
négligeant	negliZA
négligeas	negliZa
négligeasse	negliZas
négligeassent	negliZas
négligeasses	negliZas
négligeassiez	negliZasje
négligeassions	negliZasjN
négligemment	negliZamA
négligence	negliZAs
négligences	negliZAs
négligent	negliZA
négligente	negliZAt
négligentes	negliZAt
négligents	negliZA
négligeons	negliZN
négliger	negliZe
négligera	negliZ@Ra
négligerai	negliZ@Re
négligeraient	negliZ@RE
négligerais	negliZ@RE
négligerait	negliZ@RE
négligeras	negliZ@Ra
négligerez	negliZ@Re
négligeriez	negliZ@Rje
négligerions	negliZ@RjN
négligerons	negliZ@RN
négligeront	negliZ@RN
négliges	negliZ
négligez	negliZe
négligeâmes	negliZam
négligeât	negliZa
négligeâtes	negliZat
négligiez	negliZje
négligions	negliZjN
négligèrent	negliZER
négligé	negliZe
négligée	negliZe
négligées	negliZe
négligés	negliZe
négoce	negOs
négoces	negOs
négocia	negOsja
négociable	negOsjabl
négociables	negOsjabl
négociai	negOsjE
négociaient	negOsjE
négociais	negOsjE
négociait	negOsjE
négociant	negOsjA
négociants	negOsjA
négocias	negOsja
négociasse	negOsjas
négociassent	negOsjas
négociasses	negOsjas
négociassiez	negOsjasje
négociassions	negOsjasjN
négociateur	negOsjat9R
négociateurs	negOsjat9R
négociation	negOsjasjN
négociations	negOsjasjN
négocie	negOsi
négocient	negOsi
négocier	negOsje
négociera	negOsiRa
négocierai	negOsiRe
négocieraient	negOsiRE
négocierais	negOsiRE
négocierait	negOsiRE
négocieras	negOsiRa
négocierez	negOsiRe
négocieriez	negOsiRje
négocierions	negOsiRjN
négocierons	negOsiRN
négocieront	negOsiRN
négocies	negOsi
négociez	negOsje
négociiez	negOsije
négociions	negOsijN
négocions	negOsjN
négociâmes	negOsjam
négociât	negOsja
négociâtes	negOsjat
négocièrent	negOsjER
négocié	negOsje
négociée	negOsje
négociées	negOsje
négociés	negOsje
négresse	negREs
négresses	negREs
négritude	negRityd
négritudes	negRityd
nénuphar	nenyfaR
nénuphars	nenyfaR
néo-zélandaise	neozelAdEz
néo-zélandaises	neozelAdEz
néolibéralisme	neolibeRalism
néolibéralismes	neolibeRalism
néolithique	neOlitik
néolithiques	neOlitik
néologisme	neOlOZism
néologismes	neOlOZism
néon	neN
néons	neN
néophyte	neOfit
néophytes	neOfit
népalais	nepalE
népalaise	nepalEz
népalaises	nepalEz
népotisme	nepOtism
népotismes	nepOtism
nés	ne
névralgie	nevRalZi
névralgies	nevRalZi
névralgique	nevRalZik
névralgiques	nevRalZik
névrite	nevRit
névrites	nevRit
névrose	nevRoz
névroses	nevRoz
névrotique	nevRotik
névrotiques	nevRotik
névé	neve
névés	neve
nôtre	notR
nôtres	notR
o.k	OkE
oasis	Oazis
objecta	ObZEkta
objectai	ObZEkte
objectaient	ObZEktE
objectais	ObZEktE
objectait	ObZEktE
objectant	ObZEktA
objectas	ObZEkta
objectasse	ObZEktas
objectassent	ObZEktas
objectasses	ObZEktas
objectassiez	ObZEktasje
objectassions	ObZEktasjN
objecte	ObZEkt
objectent	ObZEkt
objecter	ObZEkte
objectera	ObZEkt@Ra
objecterai	ObZEkt@Re
objecteraient	ObZEkt@RE
objecterais	ObZEkt@RE
objecterait	ObZEkt@RE
objecteras	ObZEkt@Ra
objecterez	ObZEkt@Re
objecteriez	ObZEkt@Rje
objecterions	ObZEkt@RjN
objecterons	ObZEkt@RN
objecteront	ObZEkt@RN
objectes	ObZEkt
objectez	ObZEkte
objectiez	ObZEktje
objectif	ObZEktif
objectifs	ObZEktif
objection	ObZEksjN
objections	ObZEktjN
objective	ObZEktiv
objectivement	ObZEktiv@mA
objectives	ObZEktiv
objectivité	ObZEktivite
objectivités	ObZEktivite
objectons	ObZEktN
objectâmes	ObZEktam
objectât	ObZEkta
objectâtes	ObZEktat
objectèrent	ObZEktER
objecté	ObZEkte
objectée	ObZEkte
objectées	ObZEkte
objectés	ObZEkte
objet	ObZE
objets	ObZE
objurgation	ObZyRgasjN
objurgations	ObZyRgasjN
obligataire	ObligatER
obligataires	ObligatER
obligation	ObligasjN
obligations	ObligasjN
obligatoire	ObligatwaR
obligatoirement	ObligatwaR@mA
obligatoires	ObligatwaR
oblige	ObliZ
obligea	ObliZa
obligeai	ObliZe
obligeaient	ObliZE
obligeais	ObliZE
obligeait	ObliZE
obligeamment	ObliZamA
obligeant	ObliZA
obligeante	ObliZAt
obligeantes	ObliZAt
obligeants	ObliZA
obligeas	ObliZa
obligeasse	ObliZas
obligeassent	ObliZas
obligeasses	ObliZas
obligeassiez	ObliZasje
obligeassions	ObliZasjN
obligent	ObliZ
obligeons	ObliZN
obliger	ObliZe
obligera	ObliZ@Ra
obligerai	ObliZ@Re
obligeraient	ObliZ@RE
obligerais	ObliZ@RE
obligerait	ObliZ@RE
obligeras	ObliZ@Ra
obligerez	ObliZ@Re
obligeriez	ObliZ@Rje
obligerions	ObliZ@RjN
obligerons	ObliZ@RN
obligeront	ObliZ@RN
obliges	ObliZ
obligez	ObliZe
obligeâmes	ObliZam
obligeât	ObliZa
obligeâtes	ObliZat
obligiez	ObliZje
obligions	ObliZjN
obligèrent	ObliZER
obligé	ObliZe
obligée	ObliZe
obligées	ObliZe
obligés	ObliZe
obliqua	Oblika
obliquai	Oblike
obliquaient	OblikE
obliquais	OblikE
obliquait	OblikE
obliquant	OblikA
obliquas	Oblika
obliquasse	Oblikas
obliquassent	Oblikas
obliquasses	Oblikas
obliquassiez	Oblikasje
obliquassions	OblikasjN
oblique	Oblik
obliquement	Oblik@mA
obliquent	Oblik
obliquer	Oblike
obliquera	Oblik@Ra
obliquerai	Oblik@Re
obliqueraient	Oblik@RE
obliquerais	Oblik@RE
obliquerait	Oblik@RE
obliqueras	Oblik@Ra
obliquerez	Oblik@Re
obliqueriez	Oblik@Rje
obliquerions	Oblik@RjN
obliquerons	Oblik@RN
obliqueront	Oblik@RN
obliques	Oblik
obliquez	Oblike
obliquiez	Oblikje
obliquions	OblikjN
obliquons	OblikN
obliquâmes	Oblikam
obliquât	Oblika
obliquâtes	Oblikat
obliquèrent	OblikER
obliqué	Oblike
obliquée	Oblike
obliquées	Oblike
obliqués	Oblike
oblitère	OblitER
oblitèrent	OblitER
oblitères	OblitER
oblitéra	ObliteRa
oblitérai	ObliteRe
oblitéraient	ObliteRE
oblitérais	ObliteRE
oblitérait	ObliteRE
oblitérant	ObliteRA
oblitéras	ObliteRa
oblitérasse	ObliteRas
oblitérassent	ObliteRas
oblitérasses	ObliteRas
oblitérassiez	ObliteRasje
oblitérassions	ObliteRasjN
oblitération	ObliteRasjN
oblitérations	ObliteRasjN
oblitérer	ObliteRe
oblitérera	ObliteR@Ra
oblitérerai	ObliteR@Re
oblitéreraient	ObliteR@RE
oblitérerais	ObliteR@RE
oblitérerait	ObliteR@RE
oblitéreras	ObliteR@Ra
oblitérerez	ObliteR@Re
oblitéreriez	ObliteR@Rje
oblitérerions	ObliteR@RjN
oblitérerons	ObliteR@RN
oblitéreront	ObliteR@RN
oblitérez	ObliteRe
oblitériez	ObliteRje
oblitérions	ObliteRjN
oblitérons	ObliteRN
oblitérâmes	ObliteRam
oblitérât	ObliteRa
oblitérâtes	ObliteRat
oblitérèrent	ObliteRER
oblitéré	ObliteRe
oblitérée	ObliteRe
oblitérées	ObliteRe
oblitérés	ObliteRe
oblong	OblN
oblongs	OblN
oblongue	OblNg
oblongues	OblNg
obnubila	Obnybila
obnubilai	Obnybile
obnubilaient	ObnybilE
obnubilais	ObnybilE
obnubilait	ObnybilE
obnubilant	ObnybilA
obnubilas	Obnybila
obnubilasse	Obnybilas
obnubilassent	Obnybilas
obnubilasses	Obnybilas
obnubilassiez	Obnybilasje
obnubilassions	ObnybilasjN
obnubile	Obnybil
obnubilent	Obnybil
obnubiler	Obnybile
obnubilera	Obnybil@Ra
obnubilerai	Obnybil@Re
obnubileraient	Obnybil@RE
obnubilerais	Obnybil@RE
obnubilerait	Obnybil@RE
obnubileras	Obnybil@Ra
obnubilerez	Obnybil@Re
obnubileriez	Obnybil@Rje
obnubilerions	Obnybil@RjN
obnubilerons	Obnybil@RN
obnubileront	Obnybil@RN
obnubiles	Obnybil
obnubilez	Obnybile
obnubiliez	Obnybilje
obnubilions	ObnybiljN
obnubilons	ObnybilN
obnubilâmes	Obnybilam
obnubilât	Obnybila
obnubilâtes	Obnybilat
obnubilèrent	ObnybilER
obnubilé	Obnybile
obnubilée	Obnybile
obnubilées	Obnybile
obnubilés	Obnybile
obole	ObOl
oboles	ObOl
obscur	OpskyR
obscurantisme	OpskyRAtism
obscurantismes	OpskyRAtism
obscurantiste	OpskyRAtist
obscurantistes	OpskyRAtist
obscurci	OpskyRsi
obscurcie	OpskyRsi
obscurcies	OpskyRsi
obscurcir	OpskyRsiR
obscurcira	OpskyRsiRa
obscurcirai	OpskyRsiRe
obscurciraient	OpskyRsiRE
obscurcirais	OpskyRsiRE
obscurcirait	OpskyRsiRE
obscurciras	OpskyRsiRa
obscurcirent	OpskyRsiR
obscurcirez	OpskyRsiRe
obscurciriez	OpskyRsiRje
obscurcirions	OpskyRsiRjN
obscurcirons	OpskyRsiRN
obscurciront	OpskyRsiRN
obscurcis	OpskyRsi
obscurcissaient	OpskyRsisE
obscurcissais	OpskyRsisE
obscurcissait	OpskyRsisE
obscurcissant	OpskyRsisA
obscurcisse	OpskyRsis
obscurcissent	OpskyRsis
obscurcisses	OpskyRsis
obscurcissez	OpskyRsise
obscurcissiez	OpskyRsisje
obscurcissions	OpskyRsisjN
obscurcissons	OpskyRsisN
obscurcit	OpskyRsi
obscurcîmes	OpskyRsim
obscurcît	OpskyRsi
obscurcîtes	OpskyRsit
obscure	OpskyR
obscures	OpskyR
obscurité	OpskyRite
obscurités	OpskyRite
obscurs	OpskyR
obscurément	OpskyRemA
obscène	OpsEn
obscènement	OpsEn@mA
obscènes	OpsEn
obscénité	Opsenite
obscénités	Opsenite
observa	OpsERva
observable	OpsERvabl
observables	OpsERvabl
observai	OpsERve
observaient	OpsERvE
observais	OpsERvE
observait	OpsERvE
observant	OpsERvA
observas	OpsERva
observasse	OpsERvas
observassent	OpsERvas
observasses	OpsERvas
observassiez	OpsERvasje
observassions	OpsERvasjN
observateur	OpsERvat9R
observateurs	OpsERvat9R
observation	OpsERvasjN
observations	OpsERvasjN
observatoire	OpsERvatwaR
observatoires	OpsERvatwaR
observatrice	OpsERvatRis
observatrices	OpsERvatRis
observe	OpsERv
observent	OpsERv
observer	OpsERve
observera	OpsERv@Ra
observerai	OpsERv@Re
observeraient	OpsERv@RE
observerais	OpsERv@RE
observerait	OpsERv@RE
observeras	OpsERv@Ra
observerez	OpsERv@Re
observeriez	OpsERv@Rje
observerions	OpsERv@RjN
observerons	OpsERv@RN
observeront	OpsERv@RN
observes	OpsERv
observez	OpsERve
observiez	OpsERvje
observions	OpsERvjN
observons	OpsERvN
observâmes	OpsERvam
observât	OpsERva
observâtes	OpsERvat
observèrent	OpsERvER
observé	OpsERve
observée	OpsERve
observées	OpsERve
observés	OpsERve
obsession	OpsesjN
obsessionnel	OpsesjOnEl
obsessionnelle	OpsesjOnEl
obsessionnelles	OpsesjOnEl
obsessionnels	OpsesjOnEl
obsessions	OpsesjN
obsolescence	OpsOlesAs
obsolescences	OpsOlesAs
obsolète	OpsOlEt
obsolètes	OpsOlEt
obstacle	Opstakl
obstacles	Opstakl
obstina	Opstina
obstinai	Opstine
obstinaient	OpstinE
obstinais	OpstinE
obstinait	OpstinE
obstinant	OpstinA
obstinas	Opstina
obstinasse	Opstinas
obstinassent	Opstinas
obstinasses	Opstinas
obstinassiez	Opstinasje
obstinassions	OpstinasjN
obstination	OpstinasjN
obstinations	OpstinasjN
obstine	Opstin
obstinent	Opstin
obstiner	Opstine
obstinera	Opstin@Ra
obstinerai	Opstin@Re
obstineraient	Opstin@RE
obstinerais	Opstin@RE
obstinerait	Opstin@RE
obstineras	Opstin@Ra
obstinerez	Opstin@Re
obstineriez	Opstin@Rje
obstinerions	Opstin@RjN
obstinerons	Opstin@RN
obstineront	Opstin@RN
obstines	Opstin
obstinez	Opstine
obstiniez	Opstinje
obstinions	OpstinjN
obstinons	OpstinN
obstinâmes	Opstinam
obstinât	Opstina
obstinâtes	Opstinat
obstinèrent	OpstinER
obstiné	Opstine
obstinée	Opstine
obstinées	Opstine
obstinément	OpstinemA
obstinés	Opstine
obstrua	OpstRya
obstruai	OpstRye
obstruaient	OpstRyE
obstruais	OpstRyE
obstruait	OpstRyE
obstruant	OpstRyA
obstruas	OpstRya
obstruasse	OpstRyas
obstruassent	OpstRyas
obstruasses	OpstRyas
obstruassiez	OpstRyasje
obstruassions	OpstRyasjN
obstruction	OpstRyksjN
obstructionniste	OpstRyksjOnist
obstructionnistes	OpstRyksjOnist
obstructions	OpstRyksjN
obstrue	OpstRy
obstruent	OpstRy
obstruer	OpstRye
obstruera	OpstRyRa
obstruerai	OpstRyRe
obstrueraient	OpstRyRE
obstruerais	OpstRyRE
obstruerait	OpstRyRE
obstrueras	OpstRyRa
obstruerez	OpstRyRe
obstrueriez	OpstRyRje
obstruerions	OpstRyRjN
obstruerons	OpstRyRN
obstrueront	OpstRyRN
obstrues	OpstRy
obstruez	OpstRye
obstruiez	OpstRyje
obstruions	OpstRyjN
obstruons	OpstRyN
obstruâmes	OpstRyam
obstruât	OpstRya
obstruâtes	OpstRyat
obstruèrent	OpstRyER
obstrué	OpstRye
obstruée	OpstRye
obstruées	OpstRye
obstrués	OpstRye
obstétricien	OpstetRisje~
obstétriciens	OpstetRisje~
obstétrique	OpstetRik
obstétriques	OpstetRik
obsède	OpsEd
obsèdent	OpsEd
obsèdes	OpsEd
obsèques	OpsEk
obséda	Opseda
obsédai	Opsede
obsédaient	OpsedE
obsédais	OpsedE
obsédait	OpsedE
obsédant	OpsedA
obsédante	OpsedAt
obsédantes	OpsedAt
obsédants	OpsedA
obsédas	Opseda
obsédasse	Opsedas
obsédassent	Opsedas
obsédasses	Opsedas
obsédassiez	Opsedasje
obsédassions	OpsedasjN
obséder	Opsede
obsédera	Opsed@Ra
obséderai	Opsed@Re
obséderaient	Opsed@RE
obséderais	Opsed@RE
obséderait	Opsed@RE
obséderas	Opsed@Ra
obséderez	Opsed@Re
obséderiez	Opsed@Rje
obséderions	Opsed@RjN
obséderons	Opsed@RN
obséderont	Opsed@RN
obsédez	Opsede
obsédiez	Opsedje
obsédions	OpsedjN
obsédons	OpsedN
obsédâmes	Opsedam
obsédât	Opseda
obsédâtes	Opsedat
obsédèrent	OpsedER
obsédé	Opsede
obsédée	Opsede
obsédées	Opsede
obsédés	Opsede
obséquieuse	Opsekj2z
obséquieusement	Opsekj2z@mA
obséquieuses	Opsekj2z
obséquieux	Opsekj2
obséquiosité	Opsekjozite
obséquiosités	Opsekjozite
obtempère	OptApER
obtempèrent	OptApER
obtempères	OptApER
obtempéra	OptApeRa
obtempérai	OptApeRe
obtempéraient	OptApeRE
obtempérais	OptApeRE
obtempérait	OptApeRE
obtempérant	OptApeRA
obtempéras	OptApeRa
obtempérasse	OptApeRas
obtempérassent	OptApeRas
obtempérasses	OptApeRas
obtempérassiez	OptApeRasje
obtempérassions	OptApeRasjN
obtempérer	OptApeRe
obtempérera	OptApeR@Ra
obtempérerai	OptApeR@Re
obtempéreraient	OptApeR@RE
obtempérerais	OptApeR@RE
obtempérerait	OptApeR@RE
obtempéreras	OptApeR@Ra
obtempérerez	OptApeR@Re
obtempéreriez	OptApeR@Rje
obtempérerions	OptApeR@RjN
obtempérerons	OptApeR@RN
obtempéreront	OptApeR@RN
obtempérez	OptApeRe
obtempériez	OptApeRje
obtempérions	OptApeRjN
obtempérons	OptApeRN
obtempérâmes	OptApeRam
obtempérât	OptApeRa
obtempérâtes	OptApeRat
obtempérèrent	OptApeRER
obtempéré	OptApeRe
obtempérée	OptApeRe
obtempérées	OptApeRe
obtempérés	OptApeRe
obtenaient	Opt@nE
obtenais	Opt@nE
obtenait	Opt@nE
obtenant	Opt@nA
obtenez	Opt@ne
obteniez	Opt@nje
obtenions	Opt@njN
obtenir	Opt@niR
obtenons	Opt@nN
obtention	OptAsjN
obtentions	OptAsjN
obtenu	Opt@ny
obtenue	Opt@ny
obtenues	Opt@ny
obtenus	Opt@ny
obtiendra	Optje~dRa
obtiendrai	Optje~dRE
obtiendraient	Optje~dRE
obtiendrais	Optje~dRE
obtiendrait	Optje~dRE
obtiendras	Optje~dRa
obtiendrez	Optje~dRe
obtiendriez	Optje~dRije
obtiendrions	Optje~dRijN
obtiendrons	Optje~dRN
obtiendront	Optje~dRN
obtienne	OptjEn
obtiennent	OptjEn
obtiennes	OptjEn
obtiens	Optje~
obtient	Optje~
obtinmes	Opte~m
obtinrent	Opte~R
obtins	Opte~
obtinsse	Opte~s
obtinssent	Opte~s
obtinsses	Opte~s
obtinssiez	Opte~sje
obtinssions	Opte~sjN
obtint	Opte~
obtintes	Opte~t
obtura	OptyRa
obturai	OptyRe
obturaient	OptyRE
obturais	OptyRE
obturait	OptyRE
obturant	OptyRA
obturas	OptyRa
obturasse	OptyRas
obturassent	OptyRas
obturasses	OptyRas
obturassiez	OptyRasje
obturassions	OptyRasjN
obturateur	OptyRat9R
obturateurs	OptyRat9R
obturation	OptyRasjN
obturations	OptyRasjN
obture	OptyR
obturent	OptyR
obturer	OptyRe
obturera	OptyR@Ra
obturerai	OptyR@Re
obtureraient	OptyR@RE
obturerais	OptyR@RE
obturerait	OptyR@RE
obtureras	OptyR@Ra
obturerez	OptyR@Re
obtureriez	OptyR@Rje
obturerions	OptyR@RjN
obturerons	OptyR@RN
obtureront	OptyR@RN
obtures	OptyR
obturez	OptyRe
obturiez	OptyRje
obturions	OptyRjN
obturons	OptyRN
obturâmes	OptyRam
obturât	OptyRa
obturâtes	OptyRat
obturèrent	OptyRER
obturé	OptyRe
obturée	OptyRe
obturées	OptyRe
obturés	OptyRe
obtus	Opty
obtuse	Optyz
obtuses	Optyz
obtusément	OptyzemA
obus	Oby
obvia	Obvja
obviai	ObvjE
obviaient	ObvjE
obviais	ObvjE
obviait	ObvjE
obviant	ObvjA
obvias	Obvja
obviasse	Obvjas
obviassent	Obvjas
obviasses	Obvjas
obviassiez	Obvjasje
obviassions	ObvjasjN
obvie	Obvi
obvient	Obvi
obvier	Obvje
obviera	ObviRa
obvierai	ObviRe
obvieraient	ObviRE
obvierais	ObviRE
obvierait	ObviRE
obvieras	ObviRa
obvierez	ObviRe
obvieriez	ObviRje
obvierions	ObviRjN
obvierons	ObviRN
obvieront	ObviRN
obvies	Obvi
obviez	Obvje
obviiez	Obvije
obviions	ObvijN
obvions	ObvjN
obviâmes	Obvjam
obviât	Obvja
obviâtes	Obvjat
obvièrent	ObvjER
obvié	Obvje
obviée	Obvje
obviées	Obvje
obviés	Obvje
obèse	ObEz
obèses	ObEz
obédience	ObedjAs
obédiences	ObedjAs
obéi	Obei
obéie	Obei
obéies	Obei
obéir	ObeiR
obéira	ObeiRa
obéirai	ObeiRe
obéiraient	ObeiRE
obéirais	ObeiRE
obéirait	ObeiRE
obéiras	ObeiRa
obéirent	ObeiR
obéirez	ObeiRe
obéiriez	ObeiRje
obéirions	ObeiRjN
obéirons	ObeiRN
obéiront	ObeiRN
obéis	Obei
obéissaient	ObeisE
obéissais	ObeisE
obéissait	ObeisE
obéissance	ObeisAs
obéissances	ObeisAs
obéissant	ObeisA
obéissante	ObeisAt
obéissantes	ObeisAt
obéissants	ObeisA
obéisse	Obeis
obéissent	Obeis
obéisses	Obeis
obéissez	Obeise
obéissiez	Obeisje
obéissions	ObeisjN
obéissons	ObeisN
obéit	Obei
obélisque	Obelisk
obélisques	Obelisk
obésité	Obezite
obésités	Obezite
obéîmes	Obeim
obéît	Obei
obéîtes	Obeit
occasion	OkazjN
occasionna	OkazjOna
occasionnai	OkazjOne
occasionnaient	OkazjOnE
occasionnais	OkazjOnE
occasionnait	OkazjOnE
occasionnant	OkazjOnA
occasionnas	OkazjOna
occasionnasse	OkazjOnas
occasionnassent	OkazjOnas
occasionnasses	OkazjOnas
occasionnassiez	OkazjOnasje
occasionnassions	OkazjOnasjN
occasionne	OkazjOn
occasionnel	OkazjOnEl
occasionnelle	OkazjOnEl
occasionnellement	OkazjOnEl@mA
occasionnelles	OkazjOnEl
occasionnels	OkazjOnEl
occasionnent	OkazjOn
occasionner	OkazjOne
occasionnera	OkazjOn@Ra
occasionnerai	OkazjOn@Re
occasionneraient	OkazjOn@RE
occasionnerais	OkazjOn@RE
occasionnerait	OkazjOn@RE
occasionneras	OkazjOn@Ra
occasionnerez	OkazjOn@Re
occasionneriez	OkazjOn@Rje
occasionnerions	OkazjOn@RjN
occasionnerons	OkazjOn@RN
occasionneront	OkazjOn@RN
occasionnes	OkazjOn
occasionnez	OkazjOne
occasionniez	OkazjOnje
occasionnions	OkazjOnjN
occasionnons	OkazjOnN
occasionnâmes	OkazjOnam
occasionnât	OkazjOna
occasionnâtes	OkazjOnat
occasionnèrent	OkazjOnER
occasionné	OkazjOne
occasionnée	OkazjOne
occasionnées	OkazjOne
occasionnés	OkazjOne
occasions	OkazjN
occident	OksidA
occidental	OksidAtal
occidentale	OksidAtal
occidentales	OksidAtal
occidentalisa	OksidAtaliza
occidentalisai	OksidAtalize
occidentalisaient	OksidAtalizE
occidentalisais	OksidAtalizE
occidentalisait	OksidAtalizE
occidentalisant	OksidAtalizA
occidentalisas	OksidAtaliza
occidentalisasse	OksidAtalizas
occidentalisassent	OksidAtalizas
occidentalisasses	OksidAtalizas
occidentalisassiez	OksidAtalizasje
occidentalisassions	OksidAtalizasjN
occidentalisation	OksidAtalizasjN
occidentalisations	OksidAtalizasjN
occidentalise	OksidAtaliz
occidentalisent	OksidAtaliz
occidentaliser	OksidAtalize
occidentalisera	OksidAtaliz@Ra
occidentaliserai	OksidAtaliz@Re
occidentaliseraient	OksidAtaliz@RE
occidentaliserais	OksidAtaliz@RE
occidentaliserait	OksidAtaliz@RE
occidentaliseras	OksidAtaliz@Ra
occidentaliserez	OksidAtaliz@Re
occidentaliseriez	OksidAtaliz@Rje
occidentaliserions	OksidAtaliz@RjN
occidentaliserons	OksidAtaliz@RN
occidentaliseront	OksidAtaliz@RN
occidentalises	OksidAtaliz
occidentalisez	OksidAtalize
occidentalisiez	OksidAtalizje
occidentalisions	OksidAtalizjN
occidentalisons	OksidAtalizN
occidentalisâmes	OksidAtalizam
occidentalisât	OksidAtaliza
occidentalisâtes	OksidAtalizat
occidentalisèrent	OksidAtalizER
occidentalisé	OksidAtalize
occidentalisée	OksidAtalize
